Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price
INDHOTEL,Midcap,781.2,60.01,0.46,41.99,12.67,473.6,894.9,20.28,53.98,22.56,33.09,1.39,1.54,14.17,8.09,100.43,,0.26,buy,856.83
ALKEM,Midcap,"4,930.70",27.96,0.44,29.55,177.51,"4,407.05","6,439.90",3.89,48.12,16.54,20.09,1.15,2.66,19.53,8.99,67.86,5.16,0.12,hold,5801.95
NMDC,Midcap,64.43,9.32,0.93,42.06,6.91,59.7,95.45,17.14,3.68,27.34,35.21,1.9,2.37,22.95,12.85,65.61,,0.15,hold,79.52
ASTRAL,Midcap,"1,462.10",74.71,0.54,31.49,19.57,"1,426.35","2,454.00",6.07,-4.33,9.14,15.93,0.67,1.8,15.99,9.81,4.03,11.7,0.06,buy,2011.95
BHARATFORG,Midcap,"1,197.35",60.42,1.05,40.79,20.34,"1,063.00","1,804.50",8.14,41.55,5.98,16.88,0.53,1.04,12.61,6.2,38.87,,1.08,hold,1412.83
POLYCAB,Midcap,"5,643.50",48.52,0.67,30.87,121.92,"4,236.00","7,605.00",25.3,10.3,8.75,12.64,1.04,2.32,22.17,12.34,32.81,9.81,0.02,buy,7480.46
LUPIN,Midcap,"2,079.00",37.06,0.59,38.58,57.41,"1,436.35","2,402.90",15.19,97.05,12.26,21.46,1.01,1.88,18.27,9.52,87.33,,0.22,buy,2243.14
VOLTAS,Midcap,"1,420.10",84.73,0.45,24.09,16.74,990.1,"1,944.90",35.36,177.73,3.86,5.69,0.94,1.46,9.13,4.45,113.73,7.68,0.14,hold,1785.18
UPL,Midcap,542.35,,1.05,51.74,-21.35,447.8,625.0,-10.65,-,-4.85,6.87,0.73,1.35,-5.51,1.96,-0.49,,1.05,buy,613.49
GODREJPROP,Midcap,"2,095.75",41.98,0.95,23.92,49.92,"2,080.10","3,402.70",14.97,109.55,38.7,0.25,0.23,1.4,13.53,-0.08,103.41,5.37,1.22,buy,3351.83
SUNDARMFIN,Midcap,"4,409.60",31.03,0.51,51.73,142.12,"3,462.00","5,535.85",23.4,3.95,40.41,-,7.16,7.17,14.16,2.78,71.65,3.89,3.82,none,4415.22
AUROPHARMA,Midcap,"1,175.05",19.19,0.63,46.55,61.31,958.5,"1,592.00",12.41,54.79,11.82,21.11,0.85,1.83,12.13,6.77,58.35,2.22,0.27,buy,1535.25
ABCAPITAL,Midcap,165.4,11.59,1.22,31.81,14.25,163.35,246.9,15.35,-32.36,12.95,-,93.69,120.13,13.52,1.68,32.29,1.5,3.99,strong_buy,263.0
APLAPOLLO,Midcap,"1,515.95",66.34,0.79,51.43,22.86,"1,305.00","1,728.95",12.19,-10.96,3.18,5.43,0.61,1.34,22.16,9.8,2.07,,0.27,buy,1771.27
SAIL,Midcap,105.45,16.91,1.68,37.06,6.12,99.66,175.35,-7.63,-21.6,2.53,10.49,0.15,0.88,4.45,2.58,50.62,0.74,0.72,underperform,112.27
ASHOKLEY,Midcap,204.3,22.07,0.83,38.18,8.94,157.55,264.65,4.04,23.17,5.65,18.23,0.41,1.15,23.31,7.39,33.01,5.63,3.33,buy,253.05
MAXHEALTH,Midcap,"1,028.00",94.37,0.27,39.25,10.84,694.8,"1,227.95",20.06,6.57,17.63,26.42,1.16,1.26,12.72,7.05,73.79,,0.2,buy,1103.81
LTF,Midcap,135.58,13.82,1.27,48.02,10.24,129.2,194.25,10.42,12.34,32.27,-,2.09,2.12,10.27,2.22,-17.4,1.45,3.49,buy,178.71
PETRONET,Midcap,322.7,11.8,0.54,44.39,26.35,253.4,384.2,2.12,13.23,7.19,9.61,3.65,4.02,22.33,11.97,42.34,2.46,0.15,hold,331.34
OFSS,Midcap,"9,299.00",35.12,0.46,28.61,262.84,"6,381.00","13,220.00",9.22,6.89,33.9,44.56,5.48,6.1,30.74,19.61,203.77,,0.0,buy,11400.0
PERSISTENT,Midcap,"6,061.25",71.06,0.73,49.17,85.3,"3,232.05","6,788.90",19.17,27.23,11.66,16.23,1.55,1.89,24.51,12.43,75.02,15.26,0.08,hold,6117.71
PIIND,Midcap,"3,373.30",28.8,0.68,36.12,117.02,"3,248.00","4,804.05",10.02,18.69,22.39,27.62,2.73,3.46,20.26,10.77,34.62,,0.02,buy,4418.96
OBEROIRLTY,Midcap,"1,696.65",23.74,0.67,28.67,70.97,"1,273.60","2,343.65",31.59,59.41,47.34,59.96,0.68,3.89,14.79,7.78,60.15,4.14,0.14,hold,2067.75
INDUSTOWER,Midcap,350.35,9.34,0.35,49.95,37.37,206.35,460.35,4.87,80.45,33.82,60.94,1.0,1.03,25.07,10.71,68.1,,,hold,409.5
HDFCAMC,Midcap,"3,877.80",33.69,0.75,36.4,110.24,"3,406.30","4,864.00",31.73,32.39,60.8,81.0,27.16,27.32,29.47,22.04,31.18,11.68,,buy,4717.8
CGPOWER,Midcap,595.45,102.21,1.39,36.83,9.43,420.25,874.7,17.0,31.84,16.38,12.97,1.19,1.71,30.1,11.48,71.79,25.8,0.01,buy,773.0
SUZLON,Midcap,50.23,71.45,1.37,31.33,0.7,35.5,86.04,32.82,52.73,12.24,15.29,0.72,1.71,23.7,8.7,239.43,14.91,0.06,buy,75.0
IDEA,Midcap,8.89,,0.64,54.71,-4.92,6.61,19.18,0.48,-,-66.28,25.5,0.32,0.64,-,-1.52,27.33,,,hold,8.05
SUPREMEIND,Midcap,"3,546.30",44.09,0.78,25.42,80.43,"3,528.05","6,460.00",7.22,-4.89,9.8,14.22,1.41,2.58,22.49,12.87,3.47,8.49,0.01,buy,4763.67
IDFCFIRSTB,Midcap,56.73,23.66,0.94,30.81,2.65,56.43,86.1,8.74,-40.63,-,-,-,-,5.87,1.1,-26.41,,,buy,69.53
AUBANK,Midcap,594.65,20.76,0.96,43.4,27.14,534.45,755.4,33.44,14.67,-,-,-,-,13.04,1.54,-20.98,2.61,,buy,667.22
